iter	Passed	Remaining
594	4183	2847
595	4194	2842
596	4203	2837
597	4210	2830
598	4221	2826
599	4236	2824
600	4240	2815
601	4243	2805
602	4247	2796
603	4250	2786
604	4253	2777
605	4257	2768
606	4260	2758
607	4264	2749
608	4271	2742
609	4275	2733
610	4279	2724
611	4283	2715
612	4287	2707
613	4295	2700
614	4301	2692
615	4306	2684
616	4311	2676
617	4317	2668
618	4321	2659
619	4331	2654
620	4337	2647
621	4346	2641
622	4356	2636
623	4361	2628
624	4375	2625
625	4385	2620
626	4400	2617
627	4409	2611
628	4434	2615
629	4443	2609
630	4451	2603
631	4478	2607
632	4492	2604
633	4503	2599
634	4510	2592
635	4523	2589
636	4535	2584
637	4546	2579
638	4554	2573
639	4566	2568
640	4576	2563
641	4589	2559
642	4597	2552
643	4603	2544
644	4614	2540
645	4624	2533
646	4628	2525
647	4632	2516
648	4635	2507
649	4639	2498
650	4653	2494
651	4663	2488
652	4672	2482
653	4680	2476
654	4684	2467
655	4694	2461
656	4700	2453
657	4708	2447
658	4721	2443
659	4734	2439
660	4744	2433
661	4767	2434
662	4785	2432
663	4806	2432
664	4814	2425
665	4826	2420
666	4829	2411
667	4850	2410
668	4864	2406
669	4876	2401
670	4885	2395
671	4892	2387
672	4901	2381
673	4907	2373
674	4914	2366
675	4920	2358
676	4928	2351
677	4938	2345
678	4949	2339
679	4961	2334
680	4971	2328
681	4983	2323
682	5001	2321
683	5010	2314
684	5023	2310
685	5041	2307
686	5047	2299
687	5068	2298
688	5074	2290
689	5077	2281
690	5081	2272
691	5091	2266
692	5107	2262
693	5128	2261
694	5137	2254
695	5149	2249
696	5163	2244
697	5191	2246
698	5203	2240
699	5222	2238
700	5225	2229
701	5230	2220
702	5260	2222
703	5280	2220
704	5305	2219
705	5329	2219
706	5349	2216
707	5380	2219
708	5388	2211
709	5401	2206
710	5405	2197
711	5410	2188
712	5415	2180
713	5437	2178
714	5453	2173
715	5466	2168
716	5475	2161
717	5478	2151
718	5490	2145
719	5497	2137
720	5502	2129
721	5506	2120
722	5510	2111
723	5520	2104
724	5523	2095
725	5531	2087
726	5540	2080
727	5549	2073
728	5559	2066
729	5564	2058
730	5571	2050
731	5576	2041
732	5587	2035
733	5596	2028
734	5614	2024
735	5636	2021
736	5654	2017
737	5670	2013
738	5684	2007
739	5694	2000
740	5703	1993
741	5715	1987
742	5725	1980
743	5741	1975
744	5745	1966
745	5749	1957
746	5752	1948
747	5757	1939
748	5761	1930
749	5765	1921
750	5769	1912
751	5772	1903
752	5775	1894
753	5779	1885
754	5783	1876
755	5786	1867
756	5794	1860
757	5799	1851
758	5803	1842
759	5813	1835
760	5817	1826
761	5823	1818
762	5831	1811
763	5845	1805
764	5849	1796
765	5852	1787
766	5856	1779
767	5859	1770
768	5863	1761
769	5866	1752
770	5869	1743
771	5876	1735
772	5888	1729
773	5898	1722
774	5907	1715
775	5917	1708
776	5922	1699
777	5929	1692
778	5943	1686
779	5950	1678
780	5959	1671
781	5968	1663
782	5974	1655
783	5983	1648
784	5988	1640
785	5998	1633
786	6006	1625
787	6013	1617
788	6023	1610
789	6027	1602
790	6030	1593
791	6034	1584
792	6037	1576
793	6041	1567
794	6045	1558
795	6048	1550
796	6052	1541
797	6056	1533
798	6059	1524
799	6062	1515
800	6066	1507
801	6072	1499
802	6076	1490
803	6081	1482
804	6086	1474
805	6090	1465
806	6096	1457
807	6102	1450
808	6115	1443
809	6118	1435
810	6126	1427
811	6136	1420
812	6144	1413
813	6152	1405
814	6162	1398
815	6170	1391
816	6183	1385
817	6194	1378
818	6204	1371
819	6212	1363
820	6226	1357
821	6233	1349
822	6244	1342
823	6257	1336
824	6268	1329
825	6281	1323
826	6289	1315
827	6292	1307
